1. Allgemeines;
Inhalt der Daten;Zwischenergebnis für die Wahl zum 8. Brandenburger Landtag am 22. September 2024
Land;Brandenburg
Regionale Ebenen (Zahl der Datensätze);537
Jahr;2024
Quelle;Amt für Statistik Berlin-Brandenburg Wahlstatistik
Lizenz;CC BY 3.0 DE 
Angaben;absolut und in Prozent (Prozentwerte sind auf eine Nachkommastelle mathematisch gerundet)
Grundgesamtheit der Wahlergebnisse;Wahllokal- und Briefwählende
Regionale Ebene;Adresse des Aggregats (L=Landtagswahlkreis B=Bundestagswahlkreis G= Bundesland K=Landkreis oder kreisfreie Stadt T=Amt S=Gemeinde I=Insgesamt Nummer des Aggregats)
;
2. Beschreibung der Felder;
Feldname;Feldinhalt
Adresse;Adresse des Aggregats (L=Landtagswahlkreis B=Bundestagswahlkreis G=Bundesland K=Kreis/kreisfreie Stadt T=Amt/Verbandsgemeinde S=Gemeinde I=Insgesamt Nummer des Aggregats)
Stimmart;Art der Stimme (1= Erststimme 2=Zweitstimme)
Gebietsart;Bezeichnung des Gebiets/Aggregats
Gebietsname;Name des Gebiets/Aggregats
Nummer;Nummer des Aggregats
OstWest;Zuordnung zu Ost/West (O=Ost W=West X=nicht zuordenbar)
Datum;Datum des Ergebnisabzuges (Jahr Monat Tag)
Zeit;Zeit des Ergebnisabzuges
AnzWbez;Anzahl der Wahlbezirke
AusWbez;ausgezählte Wahlbezirke
AusWbezp;ausgezählte Wahlbezirke in Prozent der Wahlbezirke insgesamt
WberIns;Zahl der Wahlberechtigten insgesamt
WberA1;Zahl der Wahlberechtigten im Wahlberechtigtenverzeichnis ohne Wahlschein 
WberA1p;Zahl der Wahlberechtigten im Wahlberechtigtenverzeichnis ohne Wahlschein in Prozent der Wahlberechtigten insgesamt
WberA2;Zahl der Wahlberechtigten im Wahlberechtigtenverzeichnis mit Wahlschein 
WberA2p;Zahl der Wahlberechtigten im Wahlberechtigtenverzeichnis mit Wahlschein in Prozent der Wahlberechtigten insgesamt
