partei,n_direkt_mandate,n_listenstimmen
Sozialdemokratische Partei Deutschlands,18,439537
Alternative für Deutschland,26,422021
Christlich Demokratische Union Deutschlands,0,170889
BÜNDNIS 90/DIE GRÜNEN,0,58777
DIE LINKE,0,42010
Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler,0,35908
Freie Demokratische Partei,0,11659
PARTEI MENSCH UMWELT TIERSCHUTZ,0,28413
Plus Brandenburg,0,12750
Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit,0,189573
DER DRITTE WEG,0,1733
Deutsche Kommunistische Partei,0,963
Deutsch Land Wirtschaft,0,6334
WerteUnion,0,3671
Basisdemokratische Partei Deutschland,0,0
Demokraten Brandenburg,0,0
"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",0,0
Einzelbewerbender Gliese,0,0
Einzelbewerber Hoffmann,0,0
Einzelbewerber Link,0,0
Einzelbewerber Mießner,0,0
Einzelbewerber Müller,0,0
Einzelbewerber Raue,0,0
Einzelbewerber Schamberger,0,0
